scheduling.Process: 1 blocked... Process{cpuTime=736, cpuDone=28, withoutBlocking=500, withoutBlockingDone=28, arrivalTime=58, blockedCount=0, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=24, withoutBlocking=100, withoutBlockingDone=24, arrivalTime=86, blockedCount=0, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=30, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=0, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=100, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=0, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=60, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=1, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=200, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=1, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=90, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=2, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=300, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=2, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=120, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=3, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=400, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=3, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=150, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=4, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=500, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=4, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=180, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=5, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=600, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=5, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=210, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=6, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=700, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=6, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=240, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=7, isArrived=true}
scheduling.Process: 0 blocked... Process{cpuTime=881, cpuDone=800, withoutBlocking=100, withoutBlockingDone=100, arrivalTime=86, blockedCount=7, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=270, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=8, isArrived=true}
scheduling.Process: 0 completed... Process{cpuTime=881, cpuDone=881, withoutBlocking=100, withoutBlockingDone=81, arrivalTime=86, blockedCount=8, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=300, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=9, isArrived=true}
scheduling.Process: 1 blocked... Process{cpuTime=736, cpuDone=500, withoutBlocking=500, withoutBlockingDone=500, arrivalTime=58, blockedCount=0, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=330, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=10, isArrived=true}
scheduling.Process: 1 completed... Process{cpuTime=736, cpuDone=736, withoutBlocking=500, withoutBlockingDone=236, arrivalTime=58, blockedCount=1, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=360, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=11, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=390, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=12, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=420, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=13, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=450, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=14, isArrived=true}
scheduling.Process: 2 blocked... Process{cpuTime=485, cpuDone=480, withoutBlocking=30, withoutBlockingDone=30, arrivalTime=110, blockedCount=15, isArrived=true}
scheduling.Process: 2 completed... Process{cpuTime=485, cpuDone=485, withoutBlocking=30, withoutBlockingDone=5, arrivalTime=110, blockedCount=16, isArrived=true}
