program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=0, ionext=0, numblocked=0}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=30, ionext=30, numblocked=0}
program.domain.model.Process: 1 registered... {cputime=1219, ioblocking=100, cpudone=0, ionext=0, numblocked=0}
program.domain.model.Process: 1 I/O blocked... {cputime=1219, ioblocking=100, cpudone=100, ionext=100, numblocked=0}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=30, ionext=0, numblocked=1}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=60, ionext=30, numblocked=1}
program.domain.model.Process: 1 registered... {cputime=1219, ioblocking=100, cpudone=100, ionext=0, numblocked=1}
program.domain.model.Process: 1 I/O blocked... {cputime=1219, ioblocking=100, cpudone=200, ionext=100, numblocked=1}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=60, ionext=0, numblocked=2}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=90, ionext=30, numblocked=2}
program.domain.model.Process: 1 registered... {cputime=1219, ioblocking=100, cpudone=200, ionext=0, numblocked=2}
program.domain.model.Process: 1 I/O blocked... {cputime=1219, ioblocking=100, cpudone=300, ionext=100, numblocked=2}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=90, ionext=0, numblocked=3}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=120, ionext=30, numblocked=3}
program.domain.model.Process: 1 registered... {cputime=1219, ioblocking=100, cpudone=300, ionext=0, numblocked=3}
program.domain.model.Process: 1 I/O blocked... {cputime=1219, ioblocking=100, cpudone=400, ionext=100, numblocked=3}
program.domain.model.Process: 0 registered... {cputime=1447, ioblocking=30, cpudone=120, ionext=0, numblocked=4}
program.domain.model.Process: 0 I/O blocked... {cputime=1447, ioblocking=30, cpudone=150, ionext=30, numblocked=4}
